ARG,ID,RESULTNAME,DATENTYP,L/H,EINHEIT,NAME,MUL,DIV,ADD,説明(日本語)
KR_DTZ_ZYL4,0x5F8A,STAT_ZUENDWINKELEINGRIFF_KLOPFREGELUNG_ZYL__4_WERT,signed int,high,°KW,-,1,10,0,気筒4のノックコントロールによる点火時期介入量
KR_DTZ_ZYL5,0x5F8B,STAT_ZUENDWINKELEINGRIFF_KLOPFREGELUNG_ZYL__5_WERT,signed int,high,°KW,-,1,10,0,気筒5のノックコントロールによる点火時期介入量
KR_DTZ_ZYL6,0x5F8C,STAT_ZUENDWINKELEINGRIFF_KLOPFREGELUNG_ZYL__6_WERT,signed int,high,°KW,-,1,10,0,気筒6のノックコントロールによる点火時期介入量
KR_DTZ_ZYL7,0x5F8D,STAT_ZUENDWINKELEINGRIFF_KLOPFREGELUNG_ZYL__7_WERT,signed int,high,°KW,-,1,10,0,気筒7のノックコントロールによる点火時期介入量
KR_DTZ_ZYL8,0x5F8E,STAT_ZUENDWINKELEINGRIFF_KLOPFREGELUNG_ZYL__8_WERT,signed int,high,°KW,-,1,10,0,気筒8のノックコントロールによる点火時期介入量
KR_DTZ_ZYL9,0x5F8F,STAT_ZUENDWINKELEINGRIFF_KLOPFREGELUNG_ZYL__9_WERT,signed int,high,°KW,-,1,10,0,気筒9のノックコントロールによる点火時期介入量
KR_DTZ_ZYL10,0x5F90,STAT_ZUENDWINKELEINGRIFF_KLOPFREGELUNG_ZYL__10_WERT,signed int,high,°KW,-,1,10,0,気筒10のノックコントロールによる点火時期介入量
KR_ST_ERK,0x5F91,STAT_ZUSTANDSVARIABLE_KLOPFERKENNUNG_WERT,unsigned int,high,-,-,1,1,0,ノック検知ロジックの状態変数
KA_ST_B1,0x5F92,STAT_AKTIVIERUNG_KLOPFADAPTION_BANK_1_WERT,unsigned int,high,0-n,ka_equ,1,1,0,ノック学習(適応)機能の有効化状態(バンク1)
KA_ST_B2,0x5F93,STAT_AKTIVIERUNG_KLOPFADAPTION_BANK_2_WERT,unsigned int,high,0-n,ka_equ,1,1,0,ノック学習(適応)機能の有効化状態(バンク2)
KR_ST_B1,0x5F94,STAT_AKTIVIERUNG_KLOPFREGELUNG_BANK_1_WERT,unsigned int,high,0-n,kr_equ,1,1,0,ノックコントロール機能の有効化状態(バンク1)
KR_ST_B2,0x5F95,STAT_AKTIVIERUNG_KLOPFREGELUNG_BANK_2_WERT,unsigned int,high,0-n,kr_equ,1,1,0,ノックコントロール機能の有効化状態(バンク2)
AUSS_SPARK_TIME_ZYL1,0x5F9A,STAT_FUNKENBRENNDAUER_ZYL__1_WERT,signed int,high,ms,-,1,7000,0,気筒1の点火火花持続時間
AUSS_SPARK_TIME_ZYL2,0x5F9B,STAT_FUNKENBRENNDAUER_ZYL__2_WERT,signed int,high,ms,-,1,7000,0,気筒2の点火火花持続時間
AUSS_SPARK_TIME_ZYL3,0x5F9C,STAT_FUNKENBRENNDAUER_ZYL__3_WERT,signed int,high,ms,-,1,7000,0,気筒3の点火火花持続時間
AUSS_SPARK_TIME_ZYL4,0x5F9D,STAT_FUNKENBRENNDAUER_ZYL__4_WERT,signed int,high,ms,-,1,7000,0,気筒4の点火火花持続時間
AUSS_SPARK_TIME_ZYL5,0x5F9E,STAT_FUNKENBRENNDAUER_ZYL__5_WERT,signed int,high,ms,-,1,7000,0,気筒5の点火火花持続時間
AUSS_SPARK_TIME_ZYL6,0x5F9F,STAT_FUNKENBRENNDAUER_ZYL__6_WERT,signed int,high,ms,-,1,7000,0,気筒6の点火火花持続時間
AUSS_SPARK_TIME_ZYL7,0x5FA0,STAT_FUNKENBRENNDAUER_ZYL__7_WERT,signed int,high,ms,-,1,7000,0,気筒7の点火火花持続時間
AUSS_SPARK_TIME_ZYL8,0x5FA1,STAT_FUNKENBRENNDAUER_ZYL__8_WERT,signed int,high,ms,-,1,7000,0,気筒8の点火火花持続時間
AUSS_SPARK_TIME_ZYL9,0x5FA2,STAT_FUNKENBRENNDAUER_ZYL__9_WERT,signed int,high,ms,-,1,7000,0,気筒9の点火火花持続時間
AUSS_SPARK_TIME_ZYL10,0x5FA3,STAT_FUNKENBRENNDAUER_ZYL__10_WERT,signed int,high,ms,-,1,7000,0,気筒10の点火火花持続時間
AUSS_N_ED,0x5FA4,STAT_MOTORDREHZAHL_BEI_AUSSETZER_WERT,signed int,high,U/min,-,1,1,0,失火発生時のエンジン回転数
AUSS_TZ_ED_ZYL1,0x5FA7,STAT_ZUENDWINKEL_ZYL__1_BEI_AUSSETZER_WERT,signed int,high,°KW,-,1,10,0,失火発生時の気筒1点火時期
AUSS_TZ_ED_ZYL2,0x5FA8,STAT_ZUENDWINKEL_ZYL__2_BEI_AUSSETZER_WERT,signed int,high,°KW,-,1,10,0,失火発生時の気筒2点火時期
AUSS_TZ_ED_ZYL3,0x5FA9,STAT_ZUENDWINKEL_ZYL__3_BEI_AUSSETZER_WERT,signed int,high,°KW,-,1,10,0,失火発生時の気筒3点火時期
AUSS_TZ_ED_ZYL4,0x5FAA,STAT_ZUENDWINKEL_ZYL__4_BEI_AUSSETZER_WERT,signed int,high,°KW,-,1,10,0,失火発生時の気筒4点火時期
AUSS_TZ_ED_ZYL5,0x5FAB,STAT_ZUENDWINKEL_ZYL__5_BEI_AUSSETZER_WERT,signed int,high,°KW,-,1,10,0,失火発生時の気筒5点火時期
AUSS_TZ_ED_ZYL6,0x5FAC,STAT_ZUENDWINKEL_ZYL__6_BEI_AUSSETZER_WERT,signed int,high,°KW,-,1,10,0,失火発生時の気筒6点火時期
AUSS_TZ_ED_ZYL7,0x5FAD,STAT_ZUENDWINKEL_ZYL__7_BEI_AUSSETZER_WERT,signed int,high,°KW,-,1,10,0,失火発生時の気筒7点火時期
AUSS_TZ_ED_ZYL8,0x5FAE,STAT_ZUENDWINKEL_ZYL__8_BEI_AUSSETZER_WERT,signed int,high,°KW,-,1,10,0,失火発生時の気筒8点火時期
AUSS_TZ_ED_ZYL9,0x5FAF,STAT_ZUENDWINKEL_ZYL__9_BEI_AUSSETZER_WERT,signed int,high,°KW,-,1,10,0,失火発生時の気筒9点火時期
AUSS_TZ_ED_ZYL10,0x5FB0,STAT_ZUENDWINKEL_ZYL__10_BEI_AUSSETZER_WERT,signed int,high,°KW,-,1,10,0,失火発生時の気筒10点火時期
TMOT_MODELL,0x5FBB,STAT_KUEHLMITTELTEMPERATUR_MODELL_WERT,signed int,high,°C,-,1,10,-273.2,冷却水温のモデル推定値
TAN_MODELL_B1,0x5FBC,STAT_ANSAUGLUFTTEMPERATUR_MODELL_GEFILTERT_BANK_1_WERT,signed int,high,°C,-,1,10,-273.2,吸気温度モデル推定値(フィルタ後、バンク1)
TAN_MODELL_B2,0x5FBD,STAT_ANSAUGLUFTTEMPERATUR_MODELL_GEFILTERT_BANK_2_WERT,signed int,high,°C,-,1,10,-273.2,吸気温度モデル推定値(フィルタ後、バンク2)
TAN_OBD_ST_NOW,0x5FBE,STAT_ANSAUGLUFTTEMPERATUR_PLAUSI_AKTUELLE_DIAGNOSE_WERT,unsigned int,high,0-n,tan_obd_equ,1,1,0,吸気温センサー妥当性診断の今回結果
TAN_OBD_ST_LAST,0x5FBF,STAT_ANSAUGLUFTTEMPERATUR_PLAUSI_LETZTE_DIAGNOSE_WERT,unsigned int,high,0-n,tan_obd_equ,1,1,0,吸気温センサー妥当性診断の前回結果
TIME_REL_DELTA,0x5FC0,STAT_DELTA_RELATIVZEIT_BEI_START_WERT,unsigned int,high,s,-,1,1,0,始動時の相対時間差分
PWG,0x5FC1,STAT_PEDALWERTGEBER_GEFILTERT_RELATIV_WERT,signed int,high,%,-,1,10,0,アクセルペダル開度(フィルタ後・相対値)
PWG1_ABS_ROH,0x5FC2,STAT_PEDALWERTGEBER_GEBER_1_ABSOLUTROHWERT_WERT,signed int,high,V,-,5,1024,0,アクセルペダルセンサー1の絶対生値(電圧)
PWG2_ABS_ROH,0x5FC3,STAT_PEDALWERTGEBER_GEBER_2_ABSOLUTROHWERT_WERT,signed int,high,V,-,5,2048,0,アクセルペダルセンサー2の絶対生値(電圧)
PWG1_ROH,0x5FC4,STAT_PEDALWERTGEBER_GEBER_1_RELATIVER_ROHWERT_WERT,signed int,high,%,-,1,10,0,アクセルペダルセンサー1の相対生値(開度%)
PWG2_ROH,0x5FC5,STAT_PEDALWERTGEBER_GEBER_2_RELATIVER_ROHWERT_WERT,signed int,high,%,-,1,10,0,アクセルペダルセンサー2の相対生値(開度%)
LLR_N_SOLL,0x5FC6,STAT_LEERLAUFSOLLDREHZAHL_WERT,signed int,high,U/min,-,1,1,0,アイドル目標回転数
FGR_FSP_CODE,0x5FD2,STAT_FGR_FEHLERSPEICHER-CODE_WERT,unsigned int,high,0-n,fgr_fsp_equ,1,1,0,クルーズコントロール(FGR)の故障コード
FGR_V_VEH_DIF,0x5FD3,STAT_FGR_REGLERDIFFERENZ-GESCHWINDIGKEIT_WERT,unsigned int,high,km/h,-,1,16384,0,クルーズコントロール速度制御の目標との偏差
MD_FW_FGR,0x5FD4,STAT_FGR_MOMENTEN-ANFORDERUNG_WERT,signed int,high,%,-,1,10,0,クルーズコントロールによるトルク要求
MD_FW_REL,0x5FD5,STAT_MOMENTEN-MANAGER_WUNSCHMOMENT_WERT,signed int,high,%,-,1,10,0,トルクマネージャーの要求トルク(相対値)
SCHALTER_BLS_COUNTER_NV,0x5FD6,STAT_HAEUFIGKEITSZAEHLER_BREMSE_WERT,unsigned int,high,-,-,16,1,0,ブレーキスイッチの作動回数カウンタ
SMG_SK_MODE,0x5FD7,STAT_SICHERHEITSKONZEPT_MODE_SMG_WERT,unsigned int,high,-,-,1,1,0,SMG(自動MT)用セーフティコンセプトのモード
MD_SK_MODE,0x5FD8,STAT_SICHERHEITSKONZEPT_MODE_MOMENTENMANAGER_WERT,unsigned int,high,-,-,1,1,0,トルクマネージャー用セーフティコンセプトのモード
SMG_CAN_M_KUPP_IST_ABS,0x5FD9,STAT_KUPPLUNGSISTMOMENT_WERT,signed int,high,Nm,-,1,10,0,クラッチの実伝達トルク(SMG)
SMG_CAN_MODUL,0x5FDA,STAT_SMG_MODULINDEX_WERT,unsigned int,high,0-n,smg_st_equ,1,1,0,SMG(自動MT)のモジュールインデックス
SMG_ST_DME,0x5FDB,STAT_SCHALTSTATUS_WERT,unsigned int,high,0-n,smg_modul_equ,1,1,0,変速(シフト)状態
SMG_CAN_KUPP__GETR_ST,0x5FDC,STAT_KUPPLUNGSTATUS_UND_GETRIEBSTATUS_WERT,unsigned int,high,-,-,1,1,0,クラッチ状態および変速機状態(SMG)
MD_KUPP_WUNSCH_GES,0x5FDD,STAT_GEFILTERTES_FAHRERWUNSCHMOMENT_WERT,signed int,high,Nm,-,1,10,0,フィルタ処理後のドライバー要求トルク
MD_KUPP_WUNSCH_TZ,0x5FDE,STAT_SOLLMOMENT_ZUENDWINKEL_WERT,signed int,high,Nm,-,1,10,0,点火時期用の目標トルク
SMG_CAN_N_GETR_EIN,0x5FDF,STAT_GETRIEBEDREHZAHL_WERT,signed int,high,U/min,-,1,1,0,変速機の回転数
EGAS_WDK_B1_ABS,0x5FE0,STAT_DROSSELKLAPPE_SPANNUNG_BANK_1_WERT,signed int,high,Volt,-,5,1024,0,スロットルポジションセンサー電圧(バンク1)
EGAS_WDK_B2_ABS,0x5FE1,STAT_DROSSELKLAPPE_SPANNUNG_BANK_2_WERT,signed int,high,Volt,-,5,1024,0,スロットルポジションセンサー電圧(バンク2)
EGAS_DK_B1_R_DIAG_ST,0x5FE2,STAT_DROSSELKLAPPE_DIAGNOSESTATUS_BANK_1_WERT,unsigned int,high,0-n,egas_diag_equ,1,1,0,スロットルバルブ抵抗系の診断状態(バンク1)
EGAS_DK_B2_R_DIAG_ST,0x5FE3,STAT_DROSSELKLAPPE_DIAGNOSESTATUS_BANK_2_WERT,unsigned int,high,0-n,egas_diag_equ,1,1,0,スロットルバルブ抵抗系の診断状態(バンク2)
EGAS_LLS_B1_R_DIAG_ST,0x5FE4,STAT_LEERLAUFSTELLER_DIAGNOSESTATUS_BANK_1_WERT,unsigned int,high,0-n,egas_diag_equ,1,1,0,アイドルアクチュエータ抵抗系の診断状態(バンク1)
EGAS_LLS_B2_R_DIAG_ST,0x5FE5,STAT_LEERLAUFSTELLER_DIAGNOSESTATUS_BANK_2_WERT,unsigned int,high,0-n,egas_diag_equ,1,1,0,アイドルアクチュエータ抵抗系の診断状態(バンク2)
EGAS_SK_B1_INIT_ANZ_DK,0x5FE6,STAT_DROSSELKLAPPE_ANZAHL_NEUINITIALISIERUNGEN_BANK_1_WERT,unsigned int,high,-,-,1,1,0,スロットルバルブの再初期化回数(バンク1)
EGAS_SK_B2_INIT_ANZ_DK,0x5FE7,STAT_DROSSELKLAPPE_ANZAHL_NEUINITIALISIERUNGEN_BANK_2_WERT,unsigned int,high,-,-,1,1,0,スロットルバルブの再初期化回数(バンク2)
EGAS_SK_B1_INIT_ANZ_LLS,0x5FE8,STAT_LEERLAUFSTELLER_ANZAHL_NEUINITIALISIERUNGEN_BANK_1_WERT,unsigned int,high,-,-,1,1,0,アイドルアクチュエータの再初期化回数(バンク1)
EGAS_SK_B2_INIT_ANZ_LLS,0x5FE9,STAT_LEERLAUFSTELLER_ANZAHL_NEUINITIALISIERUNGEN_BANK_2_WERT,unsigned int,high,-,-,1,1,0,アイドルアクチュエータの再初期化回数(バンク2)
INMOT,0x5800,STAT_MOTORDREHZAHL_WERT,signed int,high,1/min,-,1,1,0,エンジン回転数
SNLLD,0x5FC6,STAT_LEERLAUFDREHZAHL_SOLL_WERT,signed int,high,1/min,-,1,1,0,アイドル目標回転数
IUBAT,0x5803,STAT_UBATT_WERT,signed int,high,Volt,-,1,10,0,バッテリー電圧
IZUSTMOT,0x580B,STAT_MOTORZUSTAND_WERT,unsigned int,high,0-n,zust_equ,1,1,0,エンジンの状態(動作ステートマシン)
IMAKLI,0x582D,STAT_MAX_ANFORDERUNG_KLIMA_WERT,signed int,high,Nm,-,1,10,0,エアコン用の最大トルク要求
IMDKLI,0x5843,STAT_MOMENTENAUFNAHME_KLIMA_WERT,signed int,high,Nm,-,1,2,0,エアコンコンプレッサーの負荷トルク
IUPW1,0x5FC2,STAT_PWG1_SPANNUNG_WERT,signed int,high,V,-,5,1024,0,アクセルペダルセンサー1の電圧
IUPW2,0x5FC3,STAT_PWG2_SPANNUNG_WERT,signed int,high,V,-,5,2048,0,アクセルペダルセンサー2の電圧
IUDK1,0x5FE0,STAT_DK1_SPANNUNG_WERT,signed int,high,V,-,5,1024,0,スロットルポジションセンサー電圧(バンク1)
IUDK2,0x5FE1,STAT_DK2_SPANNUNG_WERT,signed int,high,V,-,5,1024,0,スロットルポジションセンサー電圧(バンク2)
ITKUM,0x5802,STAT_MOTORTEMPERATUR_WERT,signed int,high,°C,-,1,10,-273.2,エンジン(冷却水)温度
IPUMG,0x5825,STAT_UMGEBUNGSDRUCK_WERT,signed int,high,hPa,-,1,16,0,外気圧(大気圧)
ITANS,0x5807,STAT_ANSAUGLUFTTEMPERATUR_WERT,signed int,high,°C,-,1,10,-273.2,吸気温度センサー1の値
ITANS2,0x5808,STAT_ANSAUGLUFTTEMPERATUR2_WERT,signed int,high,°C,-,1,10,-273.2,吸気温度センサー2の値
ILMAQKG,0x5C26,STAT_LUFTMASSENSTROM_DROSSELKLAPPE_QUERSCHNITT_WERT,signed int,high,kg/h,-,1,10,0,スロットル開口断面積(AQ)から推定した空気流量(バンク1)
ILMAQKG2,0x5C27,STAT_LUFTMASSENSTROM_DROSSELKLAPPE_QUERSCHNITT2_WERT,signed int,high,kg/h,-,1,10,0,スロットル開口断面積(AQ)から推定した空気流量(バンク2)
ILMLAM,0x5C28,STAT_LUFTMASSE_LAMBDA_WERT,signed int,high,kg/h,-,1,10,0,ラムダ値から推定した空気流量(バンク1)
ILMLAM2,0x5C29,STAT_LUFTMASSE_LAMBDA2_WERT,signed int,high,kg/h,-,1,10,0,ラムダ値から推定した空気流量(バンク2)
ITUMG,0x581D,STAT_UMGEBUNGSTEMPERATUR_WERT,signed int,high,°C,-,1,10,-273.2,外気温度
ISSTN1,0x5C4D,STAT_SONDENSTATUS_NACHKAT_BANK1_WERT,unsigned int,high,0-n,lank_st_equ,1,1,0,触媒後O2センサーの状態(バンク1)
ISSTN2,0x5C4E,STAT_SONDENSTATUS_NACHKAT_BANK2_WERT,unsigned int,high,0-n,lank_st_equ,1,1,0,触媒後O2センサーの状態(バンク2)
ISSTV1,0x5C4F,STAT_SONDENSTATUS_VORKAT_BANK1_WERT,unsigned int,high,0-n,lavk_st_equ,1,1,0,触媒前O2センサーの状態(バンク1)
ISSTV2,0x5C50,STAT_SONDENSTATUS_VORKAT_BANK2_WERT,unsigned int,high,0-n,lavk_st_equ,1,1,0,触媒前O2センサーの状態(バンク2)
ILAMV1,0x5827,STAT_LAMBDA_VORKAT_BANK1_WERT,unsigned int,high,-,-,1,16384,0,触媒前ラムダの実測値(バンク1)
ILAMV2,0x5828,STAT_LAMBDA_VORKAT_BANK2_WERT,unsigned int,high,-,-,1,16384,0,触媒前ラムダの実測値(バンク2)
IRNZV1,0x5C0B,STAT_AD_WERT_WIDERSTAND_NERNSTZELLE_VORKAT_BANK1_WERT,unsigned int,high,mV,-,5000,1024,0,触媒前O2センサー ネルンストセル抵抗のAD値(バンク1)
IRNZV2,0x5C0C,STAT_AD_WERT_WIDERSTAND_NERNSTZELLE_VORKAT_BANK2_WERT,unsigned int,high,mV,-,5000,1024,0,触媒前O2センサー ネルンストセル抵抗のAD値(バンク2)
IRSHV1,0x5C0D,STAT_WIDERSTAND_SONDENHEIZUNG_VORKAT_BANK1_WERT,unsigned int,high,Ohm,-,1,10,0,触媒前O2センサーヒーターの抵抗値(バンク1)
IRSHV2,0x5C0E,STAT_WIDERSTAND_SONDENHEIZUNG_VORKAT_BANK2_WERT,unsigned int,high,Ohm,-,1,10,0,触媒前O2センサーヒーターの抵抗値(バンク2)
IRSHN1,0x5C04,STAT_WIDERSTAND_SONDENHEIZUNG_NACHKAT_BANK1_WERT,unsigned int,high,Ohm,-,1,10,0,触媒後O2センサーヒーターの抵抗値(バンク1)
IRSHN2,0x5C05,STAT_WIDERSTAND_SONDENHEIZUNG_NACHKAT_BANK2_WERT,unsigned int,high,Ohm,-,1,10,0,触媒後O2センサーヒーターの抵抗値(バンク2)
IUSN1,0x5C00,STAT_SONDENSPANNUNG_NACHKAT_BANK1_WERT,unsigned int,high,V,-,5,1024,0,触媒後O2センサー電圧(バンク1)
IUSN2,0x5C01,STAT_SONDENSPANNUNG_NACHKAT_BANK2_WERT,unsigned int,high,V,-,5,1024,0,触媒後O2センサー電圧(バンク2)
IINT1,0x5C34,STAT_INTEGRATOR_BANK1_WERT,unsigned int,high,-,-,1,32768,0,触媒前ラムダ制御の積分(I)成分(バンク1)
IINT2,0x5C35,STAT_INTEGRATOR_BANK2_WERT,unsigned int,high,-,-,1,32768,0,触媒前ラムダ制御の積分(I)成分(バンク2)
IADD1,0x5C38,STAT_ADAPTION_ADDITIV_BANK1_WERT,signed int,high,mg/ASP,-,1,64,0,触媒前ラムダ学習の加算(オフセット)成分(バンク1)
IADD2,0x5C39,STAT_ADAPTION_ADDITIV_BANK2_WERT,signed int,high,mg/ASP,-,1,64,0,触媒前ラムダ学習の加算(オフセット)成分(バンク2)
IMUL1,0x5C36,STAT_ADAPTION_MULTIPLIKATIV_BANK1_WERT,unsigned int,high,-,-,1,32768,0,触媒前ラムダ学習の乗算成分(バンク1)
IMUL2,0x5C37,STAT_ADAPTION_MULTIPLIKATIV_BANK2_WERT,unsigned int,high,-,-,1,32768,0,触媒前ラムダ学習の乗算成分(バンク2)
-,0x00XY,STAT_UNKNOWN_WERT,unsigned int,high,-,-,1,1,0,(未定義の測定値プレースホルダー)
